date,time,temp(f),temp(c),datetime
7/2/2022,7:00,61.569,16.427222,07/02/22 7:00:00 AM
7/2/2022,7:05,61.741,16.522778,07/02/22 7:05:00 AM
7/2/2022,7:10,61.912,16.617778,07/02/22 7:10:00 AM
7/2/2022,7:15,61.912,16.617778,07/02/22 7:15:00 AM
7/2/2022,7:20,61.398,16.332222,07/02/22 7:20:00 AM
7/2/2022,7:25,60.368,15.760000,07/02/22 7:25:00 AM
7/2/2022,7:30,59.68,15.377778,07/02/22 7:30:00 AM
7/2/2022,7:35,59.164,15.091111,07/02/22 7:35:00 AM
7/2/2022,7:40,58.647,14.803889,07/02/22 7:40:00 AM
7/2/2022,7:45,57.441,14.133889,07/02/22 7:45:00 AM
7/2/2022,7:50,56.75,13.750000,07/02/22 7:50:00 AM
7/2/2022,7:55,56.75,13.750000,07/02/22 7:55:00 AM
7/2/2022,8:00,56.75,13.750000,07/02/22 8:00:00 AM
7/2/2022,8:05,56.75,13.750000,07/02/22 8:05:00 AM
7/2/2022,8:10,56.75,13.750000,07/02/22 8:10:00 AM
7/2/2022,8:15,56.75,13.750000,07/02/22 8:15:00 AM
7/2/2022,8:20,56.75,13.750000,07/02/22 8:20:00 AM
7/2/2022,8:25,56.75,13.750000,07/02/22 8:25:00 AM
7/2/2022,8:30,56.75,13.750000,07/02/22 8:30:00 AM
7/2/2022,8:35,56.75,13.750000,07/02/22 8:35:00 AM
7/2/2022,8:40,56.75,13.750000,07/02/22 8:40:00 AM
7/2/2022,8:45,56.75,13.750000,07/02/22 8:45:00 AM
7/2/2022,8:50,56.75,13.750000,07/02/22 8:50:00 AM
7/2/2022,8:55,56.75,13.750000,07/02/22 8:55:00 AM
7/2/2022,9:00,56.923,13.846111,07/02/22 9:00:00 AM
7/2/2022,9:05,56.923,13.846111,07/02/22 9:05:00 AM
7/2/2022,9:10,56.923,13.846111,07/02/22 9:10:00 AM
7/2/2022,9:15,56.923,13.846111,07/02/22 9:15:00 AM
7/2/2022,9:20,56.923,13.846111,07/02/22 9:20:00 AM
7/2/2022,9:25,56.923,13.846111,07/02/22 9:25:00 AM
7/2/2022,9:30,56.923,13.846111,07/02/22 9:30:00 AM
7/2/2022,9:35,56.75,13.750000,07/02/22 9:35:00 AM
7/2/2022,9:40,56.923,13.846111,07/02/22 9:40:00 AM
7/2/2022,9:45,56.75,13.750000,07/02/22 9:45:00 AM
7/2/2022,9:50,56.75,13.750000,07/02/22 9:50:00 AM
